Sentence,Label
pts              /          5 pts     --              Total points:                            100              out of 100                  I'll write free-form comments when assessing students    Remove points from rubric    Don't post outcomes results to learning mastery gradebook    Use this rubric for assignment grading    Hide score total for assessment results    Cancel Create rubric                Description               Long description               Cancel Update criterion                   Additional comments:        Cancel Update comments        Additional comments:                Rating Score Rating max score  to >            Pts         Rating Title    Rating Description    Cancel Update Rating       Rubric                               Can't change a rubric once you've started using it,Not
Find a rubric   Title:   Find rubric   Title         You've already rated students with this rubric,Not
Title     Criteria Ratings        Pts             Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Description of criterion      Range                             threshold:           5 pts                   Edit rating Delete rating    5 to >0 Pts                  Full marks  blank           Edit rating Delete rating    0 to >0 Pts                  No marks  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Description of criterion      Range                             threshold:           5 pts                   Edit rating Delete rating    5 to >0 Pts                  Full marks  blank           Edit rating Delete rating    0 to >0 Pts                  No marks  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --             Total points:                            5              out of 5                  I'll write free-form comments when assessing students    Remove points from rubric    Don't post outcomes results to learning mastery gradebook    Use this rubric for assignment grading    Hide score total for assessment results    Cancel Create rubric             Previous             Previous Module: Week 1               Next Next: 2,Not
2 - Team Signup                  d08782de-62d9-4595-8797-e0baca7338b0,Not
3,Not
"5 - Assignment 4: UI Design (for MVP)          To access this site, you must enable JavaScript",Not
Dashboard    SOFTWARE ENGINEERING I (CS_361_400_S2022) 3,Not
5 - Assignment 4: UI Design (for MVP)           Immersive Reader        Skip to content    Dashboard                           Account                     Dashboard                       Courses                                    Groups                                  Calendar               Resources                      Inbox                                    History                                Commons                          My Media                               Help                                 Close          My dashboard  SOFTWARE ENGINEERING I (CS_361_400_S2022)Assignments3,Not
5 - Assignment 4: UI Design (for MVP)             Immersive Reader        Spring 2022 HomeSyllabusAnnouncementsModulesEd DiscussionMicrosoft TeamsAssignmentsTutorMeMedia Gallery                      3,Not
"5 - Assignment 4: UI Design (for MVP)                Due   18 Apr 2022 by                  23:59    Points 45   Submitting a file upload       Instructions Download, complete, and submit assignment template as a",Not
,Not
Google Doc (first sign in to your OSU account to access) OR Word document (docx)  Using the template is optional,Not
Additional Resources  GenderMag inclusive design catalog (has examples of how to support different facet values) Example of how to complete the assignment: Assignment-4-Example-Submission,Not
"pdf Example cognitive style descriptions:   Your Instructor Lara  I'm mostly a Tim: I tend to leap into uncertainty, throw caution to the wind, and search for the path of least resistance (and use too many idioms)",Not
"But in high-risk, high-reward situations, I become careful, detail-oriented, and try to figure out all the steps that'll lead to the outcome I want---I'm like Abi",Not
"Overall, I often wish I was more like Abi so I wouldn't get into so much trouble",Not
"then again, the Tim side of me is ok with mistakes! Two of my facet values are: Information Processing Style: I get dozens of work emails each day",Not
"When they're from students, one of my bosses, or colleagues I work closely with, I'm like Abi (comprehensive)---I read the messages fully, carefully, and often multiple times",Not
"For other emails, I'm like Tim (selective)---I skim the first couple sentences or bolded text to decide whether the email is worth looking at",Not
"Attitude Toward Risk: I'm risk-tolerant about decisions, but risk-averse about time expenditure",Not
"I got a pollution sensor recently, here's what I did at turbo speed: (1) Ripped the sensor out of the package, (2) threw the user manual across the room, (3) jammed the USB into my computer, (4) Google'd around for the sensor software",Not
Google'd some more,Not
Google'd,Not
"couldn't find the software, (5) picked up the manual off the floor to get the URL for the sensor manufacturer website, (6) finally broke down and read a whole webpage and found the very poorly-labeled software download link",Not
I see aspects of both Tim and Abi in there,Not
Your TA  I identify with Pat’s facet values most of the time,Not
"Occasionally, I might behave a bit more like Abi by being more process-oriented in my learning style",Not
Two of my facet values are: Motivation: I’m very motivated by task completion,Not
I rarely learn all the cool new features that are released when my device or app updates,Not
"In fact, I’ll try to avoid updating as long as possible if my technology is allowing me to accomplish my task",Not
Learning by Process vs,Not
"Tinkering: Similar to Pat, I usually learn new technology by tinkering around with it",Not
"Occasionally, I behave more like Abi if I think the hardware or software is more complex",Not
"For instance, I learned how to use Slack by clicking on different icons and seeing what happened, but I walked through the tutorial to learn how to use my favorite IDE",Not
Your TA  Two of my facet values: Motivation: It depends on what I'm using the software for,Not
"If it is for work, I tend to be like Abi and use the technologies to accomplish my tasks",Not
I may learn new technologies if I find it not too difficult or time-consuming,Not
"On the other hand, if it is for my hobbies or something outside my job, I like to explore and see what's available for me and enjoy trying something new",Not
Information Processing Style: Comprehensive like Abi and Pat,Not
I want to ensure I read all the information I need to understand and see a clearer picture of what I am going to do before I get started,Not
Your TA  I generally identify with Tim’s facet values,Not
I enjoy learning technologies and learn best by tinkering,Not
I share Tim’s qualities of being risk tolerant and I love to tinker and explore and can lose myself in finding out new things when I need to turn back to the tasks at hand,Not
"However, I also share some qualities with Pat in that I will carefully examine where I have gone wrong if something is not having a desired outcome and am not so quick to blame the software creator",Not
Two of my facet values: Attitude Toward Risk: I am tolerant of risking time and resources to spend on an idea or product that may or may not turn out as long as there is a potential for a large ROI (Return of Investment),Not
I’m always looking for different ways to organize and automate the tasks I do to increase efficiency and with that sometimes there is the possibility of actually decreasing efficiency,Not
It’s important I continue to recognize and utilize what works and stop using what doesn’t work and try other avenues,Not
Information Processing Style: I very closely manage my time and try to increase efficiency,Not
So in most areas I like to get to the main point of the topic,Not
This can backfire if I don’t read enough ancillary details to understand the main point and need to go back and take those in,Not
I very much dive headfirst into a project and work from the middle to the back and front,Not
Your TA  I identify most with Pat,Not
"However, sometimes my facet values become more like Tim's",Not
I always want to learn all available functionalities on every tech device or appliance that I own,Not
Two of my facet values: Computer Self-Efficacy: Medium confidence doing unfamiliar tech tasks,Not
"For example, if I can't fix a problem in some new programming language, I will keep trying and if it's still not resolved, maybe seek help",Not
Attitude Toward Risk: Risk-averse,Not
"For example, before pushing code for production, I always read it multiple times although it's tested",Not
1650351540 04/18/2022 11:59pm     Rubric       true         1580164             Can't change a rubric once you've started using it,Not
Find a rubric   Title:   Find rubric Keep in mind that 233 students have already been assessed using this rubric,Not
Changing it will affect their evaluations,Not
A4 Rubric         You've already rated students with this rubric,Not
Any major changes could affect their assessment results,Not
A4 Rubric     Criteria Ratings        Pts             Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  1,Not
a,Not
Described your thoughts about the CSH reading (at least 1 paragraph)  _9822    Range                             threshold:            pts                   Edit rating Delete rating    3 to >0,Not
0 Pts                  Accept  blank           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_3833           Edit rating Delete rating    0 to >0 Pts                  Revise  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          3 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  1,Not
b,Not
Described two facet values you tend to use when interacting with technology (2+ sentences per facet value)  707031_6319    Range                             threshold:            pts                   Edit rating Delete rating    4 to >0,Not
0 Pts                  Accept  707031_6184           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_1072           Edit rating Delete rating    0 to >0 Pts                  Revise  707031_1819              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          4 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  1,Not
c,Not
Described a specific situation when one of your facet values might change; grader understands (2+ sentencces)  707031_3270    Range                             threshold:            pts                   Edit rating Delete rating    3 to >0,Not
0 Pts                  Accept  707031_936           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_1836           Edit rating Delete rating    0 to >0 Pts                  Revise  707031_8624              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          3 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  2,Not
"Paper prototype is clear, neat, and high resolution enough for the grader to understand it  707031_95    Range                             threshold:            pts                   Edit rating Delete rating    5 to >0",Not
0 Pts                  Accept  707031_7871           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_2833           Edit rating Delete rating    0 to >0 Pts                  Revise  707031_5632              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  2,Not
Paper prototype shows every screen / user-facing view of your UI  707031_2859    Range                             threshold:            pts                   Edit rating Delete rating    5 to >0,Not
0 Pts                  Accept  707031_1192           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_1637           Edit rating Delete rating    0 to >0 Pts                  Revise  707031_8905              This area will be used by the assessor to leave comments related to this criterion,Not
Grader understands what users can interact with  707031_2675    Range                             threshold:            pts                   Edit rating Delete rating    5 to >0,Not
0 Pts                  Accept  707031_816           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_2750           Edit rating Delete rating    0 to >0 Pts                  Revise  707031_1563              This area will be used by the assessor to leave comments related to this criterion,Not
Grader understands hows users can interact  707031_8581    Range                             threshold:            pts                   Edit rating Delete rating    5 to >0,Not
0 Pts                  Accept  707031_8875           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_3537           Edit rating Delete rating    0 to >0 Pts                  Revise  707031_6920              This area will be used by the assessor to leave comments related to this criterion,Not
Grader understands what happens when users interact  707031_8069    Range                             threshold:            pts                   Edit rating Delete rating    5 to >0,Not
0 Pts                  Accept  707031_9886           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_7797           Edit rating Delete rating    0 to >0 Pts                  Revise  707031_4370              This area will be used by the assessor to leave comments related to this criterion,Not
Grader sees no obvious CSH violations / opportunities  707031_4176    Range                             threshold:            pts                   Edit rating Delete rating    5 to >0,Not
0 Pts                  Accept  707031_5175           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_3743           Edit rating Delete rating    0 to >0 Pts                  Revise  707031_8826              This area will be used by the assessor to leave comments related to this criterion,Not
Described how your design reflects each of the 8 CSH; grader understands  707031_9793    Range                             threshold:            pts                   Edit rating Delete rating    5 to >0,Not
0 Pts                  Accept  707031_6305           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  707031_3712           Edit rating Delete rating    0 to >0 Pts                  Revise  707031_3123              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Description of criterion      Range                             threshold:           5 pts                   Edit rating Delete rating    5 to >0 Pts                  Full marks  blank           Edit rating Delete rating    0 to >0 Pts                  No marks  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --              Total points:                            45              out of 45                  I'll write free-form comments when assessing students    Remove points from rubric    Don't post outcomes results to learning mastery gradebook    Use this rubric for assignment grading    Hide score total for assessment results    Cancel Create rubric                Description               Long description               Cancel Update criterion                   Additional comments:        Cancel Update comments        Additional comments:                Rating Score Rating max score  to >            Pts         Rating Title    Rating Description    Cancel Update Rating       Rubric                               Can't change a rubric once you've started using it,Not
Find a rubric   Title:   Find rubric   Title         You've already rated students with this rubric,Not
Title     Criteria Ratings        Pts             Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Description of criterion      Range                             threshold:           5 pts                   Edit rating Delete rating    5 to >0 Pts                  Full marks  blank           Edit rating Delete rating    0 to >0 Pts                  No marks  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --             Total points:                            5              out of 5                  I'll write free-form comments when assessing students    Remove points from rubric    Don't post outcomes results to learning mastery gradebook    Use this rubric for assignment grading    Hide score total for assessment results    Cancel Create rubric                     cacc6c0e-1dd8-4541-8dfb-6cdd026ca311,Not
3,Not
"4 - Assignment 3: Project Plan & Sprint 1 Plan (for MVP)          To access this site, you must enable JavaScript",Not
Dashboard    SOFTWARE ENGINEERING I (CS_361_400_S2022) 3,Not
4 - Assignment 3: Project Plan & Sprint 1 Plan (for MVP)           Immersive Reader        Skip to content    Dashboard                           Account                     Dashboard                       Courses                                    Groups                                  Calendar               Resources                      Inbox                                    History                                Commons                          My Media                               Help                                 Close          My dashboard  SOFTWARE ENGINEERING I (CS_361_400_S2022)Assignments3,Not
4 - Assignment 3: Project Plan & Sprint 1 Plan (for MVP)             Immersive Reader        Spring 2022 HomeSyllabusAnnouncementsModulesEd DiscussionMicrosoft TeamsAssignmentsTutorMeMedia Gallery                      3,Not
"4 - Assignment 3: Project Plan & Sprint 1 Plan (for MVP)                Due   18 Apr 2022 by                  23:59    Points 50   Submitting a file upload       Instructions Download, complete, and submit assignment template as a",Not
,Not
Google Doc (first sign in to your OSU account to access) OR Word document (docx)  Using the template is optional,Not
Additional Resources  200 examples of user stories List of system quality attributes  Questions & Answers Do I have to implement all the user stories I define in my Product Backlog? Nope!     1650351540 04/18/2022 11:59pm     Rubric       true         1545820             Can't change a rubric once you've started using it,Not
Find a rubric   Title:   Find rubric Keep in mind that 233 students have already been assessed using this rubric,Not
Changing it will affect their evaluations,Not
A3 Rubric (1)         You've already rated students with this rubric,Not
Any major changes could affect their assessment results,Not
A3 Rubric (1)     Criteria Ratings        Pts             Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  1,Not
Stated a task management system  _4175    Range                             threshold:            pts                   Edit rating Delete rating    1 to >0,Not
0 Pts                  Accept  blank           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  _7097           Edit rating Delete rating    0 to >0 Pts                  Revise  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          1 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  2,Not
a,Not
Stated a Product Goal; grader understands what you mean  _7529    Range                             threshold:            pts                   Edit rating Delete rating    1 to >0,Not
0 Pts                  Accept  _2044           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  _6435           Edit rating Delete rating    0 to >0 Pts                  Revise  _4932              This area will be used by the assessor to leave comments related to this criterion,Not
b,Not
Listed at least 20 user stories ,Instruction
""" formats) and, as a set, they have no obvious INVEST violations  _3911    Range                             threshold:            pts                   Edit rating Delete rating    10 to >0",Not
0 Pts                  Accept  _7321           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  _1892           Edit rating Delete rating    0 to >0 Pts                  Revise  _2261              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          10 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  2,Not
Screenshot shows at least some of your user stories in a task management system  _6619    Range                             threshold:            pts                   Edit rating Delete rating    3 to >0,Not
0 Pts                  Accept  _5049           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  _9724           Edit rating Delete rating    0 to >0 Pts                  Revise  _1377              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          3 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  3,Not
Stated three quality attributes  _9727    Range                             threshold:            pts                   Edit rating Delete rating    2 to >0,Not
0 Pts                  Accept  _5086           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  _7638           Edit rating Delete rating    0 to >0 Pts                  Revise  _9295              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          2 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  3,Not
Each quality attribute is justified with at least 1 sentence and the grader understands your justification  _3777    Range                             threshold:            pts                   Edit rating Delete rating    3 to >0,Not
0 Pts                  Accept  _4092           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  _2205           Edit rating Delete rating    0 to >0 Pts                  Revise  _4659              This area will be used by the assessor to leave comments related to this criterion,Not
c,Not
Each quality attribute is converted to a non-functional requirement  _1488    Range                             threshold:            pts                   Edit rating Delete rating    3 to >0,Not
0 Pts                  Accept  _9365           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  _8753           Edit rating Delete rating    0 to >0 Pts                  Revise  _6906              This area will be used by the assessor to leave comments related to this criterion,Not
Explained how each non-functional requirement is testable (1+ sentence each) and the grader understands + agrees  _5457    Range                             threshold:            pts                   Edit rating Delete rating    3 to >0,Not
0 Pts                  Accept  _7479           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  _6892           Edit rating Delete rating    0 to >0 Pts                  Revise  _5638              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          3 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  4,Not
Stated Sprint Goal and grader understands what you mean  710429_906    Range                             threshold:            pts                   Edit rating Delete rating    1 to >0,Not
0 Pts                  Accept  710429_3506           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  710429_2041           Edit rating Delete rating    0 to >0 Pts                  Revise  710429_8566              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          1 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  4,Not
"Listed three user stories in ""As a",Not
""" format  710429_9749    Range                             threshold:            pts                   Edit rating Delete rating    1 to >0",Not
0 Pts                  Accept  710429_5524           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  710429_7291           Edit rating Delete rating    0 to >0 Pts                  Revise  710429_9109              This area will be used by the assessor to leave comments related to this criterion,Not
Provided screenshot that shows user stories in a Sprint Backlog in your task management system  710429_7207    Range                             threshold:            pts                   Edit rating Delete rating    3 to >0,Not
0 Pts                  Accept  710429_8438           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  710429_1576           Edit rating Delete rating    0 to >0 Pts                  Revise  710429_2062              This area will be used by the assessor to leave comments related to this criterion,Not
d,Not
"Provided multiple screenshots of your task management system, each showing multiple tasks/subtasks per user story  710429_9797    Range                             threshold:            pts                   Edit rating Delete rating    4 to >0",Not
0 Pts                  Accept  710429_7856           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  710429_2061           Edit rating Delete rating    0 to >0 Pts                  Revise  710429_9710              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          4 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  4,Not
e,Not
Each user story has at least four acceptance criteria  710429_2840    Range                             threshold:            pts                   Edit rating Delete rating    4 to >0,Not
0 Pts                  Accept  710429_30           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  710429_5159           Edit rating Delete rating    0 to >0 Pts                  Revise  710429_7568              This area will be used by the assessor to leave comments related to this criterion,Not
Each user story has acceptance criteria that cover your three quality attributes  710429_9233    Range                             threshold:            pts                   Edit rating Delete rating    4 to >0,Not
0 Pts                  Accept  710429_84           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  710429_5410           Edit rating Delete rating    0 to >0 Pts                  Revise  710429_5978              This area will be used by the assessor to leave comments related to this criterion,Not
"Each acceptance criterion correctly uses the ""Given",Not
when,Not
""" format  710429_3163    Range                             threshold:            pts                   Edit rating Delete rating    4 to >0",Not
0 Pts                  Accept  710429_6309           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  710429_615           Edit rating Delete rating    0 to >0 Pts                  Revise  710429_9441              This area will be used by the assessor to leave comments related to this criterion,Not
Provided screenshot of at least one Definition of Done in your task management system  710429_166    Range                             threshold:            pts                   Edit rating Delete rating    3 to >0,Not
0 Pts                  Accept  710429_8315           Edit rating Delete rating    0 to >0,Not
0 Pts                  Did not attempt (no revision allowed)  710429_9519           Edit rating Delete rating    0 to >0 Pts                  Revise  710429_7492              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          3 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Description of criterion      Range                             threshold:           5 pts                   Edit rating Delete rating    5 to >0 Pts                  Full marks  blank           Edit rating Delete rating    0 to >0 Pts                  No marks  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --              Total points:                            50              out of 50                  I'll write free-form comments when assessing students    Remove points from rubric    Don't post outcomes results to learning mastery gradebook    Use this rubric for assignment grading    Hide score total for assessment results    Cancel Create rubric                Description               Long description               Cancel Update criterion                   Additional comments:        Cancel Update comments        Additional comments:                Rating Score Rating max score  to >            Pts         Rating Title    Rating Description    Cancel Update Rating       Rubric                               Can't change a rubric once you've started using it,Not
Find a rubric   Title:   Find rubric   Title         You've already rated students with this rubric,Not
Title     Criteria Ratings        Pts             Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Description of criterion      Range                             threshold:           5 pts                   Edit rating Delete rating    5 to >0 Pts                  Full marks  blank           Edit rating Delete rating    0 to >0 Pts                  No marks  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Description of criterion      Range                             threshold:           5 pts                   Edit rating Delete rating    5 to >0 Pts                  Full marks  blank           Edit rating Delete rating    0 to >0 Pts                  No marks  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --             Total points:                            5              out of 5                  I'll write free-form comments when assessing students    Remove points from rubric    Don't post outcomes results to learning mastery gradebook    Use this rubric for assignment grading    Hide score total for assessment results    Cancel Create rubric                     7b3330d3-3d34-4d02-925e-529b411f396b,Not
3,Not
"6 - Request Feedback from Team (on UI Design)          To access this site, you must enable JavaScript",Not
Dashboard    SOFTWARE ENGINEERING I (CS_361_400_S2022) 3,Not
6 - Request Feedback from Team (on UI Design)           Immersive Reader        Skip to content    Dashboard                           Account                     Dashboard                       Courses                                    Groups                                  Calendar                                  Inbox                                    History                                Commons                          My Media                               Help                                 Close          My dashboard  SOFTWARE ENGINEERING I (CS_361_400_S2022)Assignments3,Not
6 - Request Feedback from Team (on UI Design)             Immersive Reader        Spring 2022 HomeSyllabusAnnouncementsModulesEd DiscussionMicrosoft TeamsAssignmentsTutorMeMedia Gallery                      3,Not
6 - Request Feedback from Team (on UI Design)                Due   18 Apr 2022 by                  23:59    Points 5   Submitting a discussion post   Available          after 14 Apr 2022 at 23:59           InstructionsReply below with your Assignment 4 attached so that your teammates can see it,Not
That's all you need to do for this discussion,Not
You'll be asked to review your teammates' work as part of a later assignment,Not
1650351540 04/18/2022 11:59pm     Rubric       true         1545800             Can't change a rubric once you've started using it,Not
Find a rubric   Title:   Find rubric Keep in mind that 55 students have already been assessed using this rubric,Not
Changing it will affect their evaluations,Not
Sprint 2 Feedback Request         You've already rated students with this rubric,Not
Any major changes could affect their assessment results,Not
Sprint 2 Feedback Request     Criteria Ratings        Pts             Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Uploaded Assignment 4  _3136    Range                             threshold:            pts                   Edit rating Delete rating    5 to >0,Not
0 Pts                  Did it  blank           Edit rating Delete rating    0 to >0 Pts                  Did not do it  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --               Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Description of criterion      Range                             threshold:           5 pts                   Edit rating Delete rating    5 to >0 Pts                  Full marks  blank           Edit rating Delete rating    0 to >0 Pts                  No marks  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --              Total points:                            5              out of 5                  I'll write free-form comments when assessing students    Remove points from rubric    Don't post outcomes results to learning mastery gradebook    Use this rubric for assignment grading    Hide score total for assessment results    Cancel Create rubric                Description               Long description               Cancel Update criterion                   Additional comments:        Cancel Update comments        Additional comments:                Rating Score Rating max score  to >            Pts         Rating Title    Rating Description    Cancel Update Rating       Rubric                               Can't change a rubric once you've started using it,Not
Find a rubric   Title:   Find rubric   Title         You've already rated students with this rubric,Not
Title     Criteria Ratings        Pts             Edit criterion description Delete criterion row     This criterion is linked to a learning outcome  Description of criterion      Range                             threshold:           5 pts                   Edit rating Delete rating    5 to >0 Pts                  Full marks  blank           Edit rating Delete rating    0 to >0 Pts                  No marks  blank_2              This area will be used by the assessor to leave comments related to this criterion,Not
pts              /          5 pts     --              Total points:                            5              out of 5                  I'll write free-form comments when assessing students    Remove points from rubric    Don't post outcomes results to learning mastery gradebook    Use this rubric for assignment grading    Hide score total for assessment results    Cancel Create rubric                    b34dde66-3c4a-475e-a983-4dc197a6cefb,Not
